athlete_id;athlete_name;country;club;gender;id_copy;instance
ARM00001;BADEJAN Armen;ARM;-;;ARM00001;1
ARM00002;AKOPJAN Lida;ARM;-;;ARM00002;1
AUS00001;CLARK John;AUS;-;M;AUS00001;1
AUS00002;ATKINS Stuart;AUS;Canberra AC;M;AUS00002;1
AUS00003;CLARK Cathy;AUS;-;J;AUS00003;1
AUS00004;MURPHY Frances;AUS;Canberra AC;W;AUS00004;2
AUS00005;BARTLET Graham;AUS;-;M;AUS00005;1
AUS00006;TURNER John;AUS;KGSA Kalamunda Archers;M;AUS00006;1
AUS00007;WALLER David;AUS;-;S;AUS00007;1
AUS00008;ATKINS Frances;AUS;Canberra AC;W;AUS00008;1
AUT00001;SCHRETTER Hans-Jorg;AUT;-;M;AUT00001;1
AUT00002;LOACKER Kurt;AUT;-;M;AUT00002;1
AUT00003;LOACKER Alfons;AUT;-;M;AUT00003;1
AUT00004;MANNSBERGER Harald;AUT;-;M;AUT00004;1
AUT00005;RIEDER Jurgen;AUT;-;M;AUT00005;1
AUT00006;LUTZ Harald;AUT;Vorarlberg;M;AUT00006;1
AUT00007;MADLENER Dietmar;AUT;-;M;AUT00007;1
AUT00008;ACHMULLER Rainer;AUT;-;J;AUT00008;1
AUT00009;HEIM Marcus;AUT;-;M;AUT00009;1
AUT00010;SCHNEIDER Helmut;AUT;-;M;AUT00010;1
AUT00011;GOBBER Alois;AUT;-;S;AUT00011;1
AUT00012;GSTEU Bernhard;AUT;Vorarlberg;M;AUT00012;1
AUT00013;WEINOLD Emil;AUT;-;M;AUT00013;1
AUT00014;SCHWARZ Bettina;AUT;Niederosterreich;W;AUT00014;2
AUT00015;MAYER Lukas;AUT;Vorarlberg;J;AUT00015;1
AUT00016;HAUSEGGER Harald;AUT;Steiermark;S;AUT00016;1
AUT00017;MULLNER Markus;AUT;Wien;M;AUT00017;1
AUT00018;LUGMAYR Harald;AUT;Wien;SM;AUT00018;1
AUT00019;ZEHETNER Martin;AUT;Wien;SM;AUT00019;1
AUT00020;VOGLBAUER Franz;AUT;Tirol;SM;AUT00020;1
AUT00021;RIEDER Kurt;AUT;-;M;AUT00021;1
AUT00022;MALLIN Harald;AUT;Vorarlberg;M;AUT00022;1
AUT00023;PEZZEI Florian;AUT;Wien;M;AUT00023;1
AUT00024;RIEDER Manfred;AUT;-;M;AUT00024;1
AUT00025;PAMMER Wernfried;AUT;-;S;AUT00025;1
AUT00026;PERFLER Thomas;AUT;-;M;AUT00026;1
AUT00027;GASSNER Johannes;AUT;-;M;AUT00027;1
AUT00028;LOACKER Hans;AUT;-;S;AUT00028;1
AUT00029;ENGLERT Dietrich;AUT;Niederosterreich;S;AUT00029;1
AUT00030;JENNY Gebhard;AUT;-;M;AUT00030;1
AUT00031;FRITZ Erich;AUT;Vorarlberg;S;AUT00031;1
AUT00032;SCHWAIGER Max;AUT;Steiermark;S;AUT00032;1
AUT00033;ALBRECHT Egon;AUT;-;;AUT00033;1
AUT00034;WOLF Martina;AUT;-;W;AUT00034;1
AUT00035;NEUDECKER Silvia;AUT;Wien;;AUT00035;1
AUT00036;RIEDER Thomas;AUT;-;;AUT00036;1
AUT00037;KEMPF Martin;AUT;-;;AUT00037;1
AUT00038;LIPTAK Jaroslav;AUT;Wien;38;AUT00038;1
AUT00039;MOOSER Marion;AUT;Vorarlberg;39;AUT00039;1
AUT00040;BICHLER Markus;AUT;Tirol;40;AUT00040;1
AUT00041;PEER Franziska;AUT;Tirol;41;AUT00041;1
AUT00042;KLEEMANN Michael;AUT;Niederosterreich;42;AUT00042;1
AUT00043;LAMPL Thomas;AUT;Niederosterreich;43;AUT00043;1
AUT00044;STOCKER Christoph;AUT;Steiermark;44;AUT00044;1
AUT00045;STOCKER Richard;AUT;Steiermark;45;AUT00045;1
AUT00046;PIRKMANN Julia;AUT;Steiermark;46;AUT00046;1
AUT00047;HEIDEGGER Daniel;AUT;Wien;47;AUT00047;1
AUT00048;KARLON Alexander;AUT;Steiermark;48;AUT00048;1
AUT00049;HOFBAUER Manfred;AUT;Tirol;49;AUT00049;1
AUT00050;KOLOMAN Prem;AUT;Wien;50;AUT00050;1
AUT00051;EBERL August;AUT;Steiermark;51;AUT00051;1
AUT00052;SCHRETTL Hans Peter;AUT;Tirol;52;AUT00052;1
AUT00053;HOCHREITER Peter;AUT;Steiermark;53;AUT00053;1
AUT00054;ZEIRINGER Nico;AUT;Steiermark;54;AUT00054;1
AUT00055;LEISTER Manuel;AUT;Steiermark;55;AUT00055;1
AUT00056;BURTSCHER Stefan;AUT;Vorarlberg;56;AUT00056;1
AUT00057;EISELE Andreas;AUT;Vorarlberg;57;AUT00057;1
AUT00058;SENONER Johannes;AUT;Vorarlberg;58;AUT00058;1
AUT00059;NECAS Florian;AUT;Wien;59;AUT00059;1
AUT00060;HECHENBERGER Claus;AUT;-;;AUT00060;1
AUT00061;NUSSBAUM Petra;AUT;-;;AUT00061;1
AUT00062;RETTENBACHER Erwin;AUT;-;;AUT00062;1
AUT00063;THONI Gerhard;AUT;-;;AUT00063;1
AUT00064;STROHLE Gerd;AUT;-;;AUT00064;1
AUT00065;MAYER Stefan;AUT;-;;AUT00065;1
AUT00066;SCHEFFKNECHT Lothar;AUT;-;;AUT00066;1
AUT00067;STECHER Helmut;AUT;-;;AUT00067;1
AUT00068;NETZER Doris;AUT;-;;AUT00068;1
AUT00069;MAIER Marianne;AUT;-;;AUT00069;1
AUT00070;HAMMERLE Markus;AUT;-;;AUT00070;1
AUT00071;GASSER Kurt;AUT;-;;AUT00071;1
AUT00072;KERNBICHLER Hartmann;AUT;-;;AUT00072;1
AUT00073;AMMANN Konstantin;AUT;-;;AUT00073;1
AUT00074;MORSCHER Jakob;AUT;-;;AUT00074;1
AUT00075;WEINOLD Heidi;AUT;-;;AUT00075;1
AUT00076;STARK Gerhard;AUT;-;;AUT00076;1
AUT00077;PEHR Helmut;AUT;-;;AUT00077;1
AUT00078;KERNBICHLER Harry;AUT;-;;AUT00078;1
AUT00079;MERL Markus;AUT;-;;AUT00079;1
AUT00080;MANGELE Anton;AUT;-;;AUT00080;1
AUT00081;MATHIS Thomas;AUT;-;;AUT00081;1
AUT00082;PAMMER Wernfried jr.;AUT;-;;AUT00082;1
AUT00083;SCHARMER Wolfgang;AUT;-;;AUT00083;1
AUT00084;RYLKO Daniel;AUT;-;;AUT00084;1
AUT00085;ARBEN Asani;AUT;-;;AUT00085;1
AUT00086;LAMPERT Florian;AUT;-;;AUT00086;1
AUT00087;MONZ Brigitte;AUT;-;;AUT00087;1
BEL00001;LOUIS Achiel;BEL;-;M;BEL00001;1
BEL00002;VAN QUEKELBERGHE Wilfried;BEL;-;M;BEL00002;1
BEL00003;SCHOLLAERT Carlo;BEL;-;M;BEL00003;1
BEL00004;KUSTERS Karel;BEL;Ver. Vrienden Meer;M;BEL00004;1
BEL00005;HUSTINGS Robert;BEL;-;M;BEL00005;1
BEL00006;VAN DE WIELE Peter;BEL;St. Jan Brugge;M;BEL00006;2
BEL00007;KUSTERS Bart;BEL;-;J;BEL00007;1
BEL00008;VANDERHAEGHEN Jean;BEL;St. Rochus Gent;M;BEL00008;1
BEL00009;KELLER Manfred;BEL;HUZ Leuven;M;BEL00009;1
BEL00010;CRAUWELS Greta;BEL;-;W;BEL00010;1
BEL00011;SMITS Tom;BEL;-;M;BEL00011;1
BEL00012;VANDERHAEGHEN Kristof;BEL;-;M;BEL00012;1
BEL00013;VAN LAER Danny;BEL;-;M;BEL00013;1
