comp_id;comp_name;country;city;level;date;format
WCH1982FIN;1st IAU World Championships;FIN;Mikkeli;WCH;4.7.1982;IR1800old
WCH1984GBR;2nd IAU World Championships;GBR;Himley Hall;WCH;22.7.1984;IR1800old
WCH1986USA;3rd IAU World Championships;USA;Oxford;WCH;2.8.1986;IR1800old
WCH1988SWE;4th IAU World Championships;SWE;Hassleholm;WCH;30.7.1988;IR1800old
ECH1989GBR;1st IAU European Championships;GBR;Wolverhampton;CCH;16.7.1989;IR1800old
CE1990POR;Acoetias Cup;POR;Algarve;IC;20.9.1990;IR900
WCH1990POR;5th IAU World Championships;POR;Algarve;WCH;22.9.1990;IR1800old
WCH1992NZL;6th IAU World Championships;NZL;Hamilton;WCH;13.1.1992;IR1800old
ECH1993GBR;2nd IAU European Championships;GBR;Lilleshall;CCH;4.9.1993;IR1800old
CE1994GER;Wiesbaden Cup;GER;Wiesbaden;IC;20.7.1994;IR900
WCH1994GER;7th IAU World Championships;GER;Wiesbaden;WCH;24.7.1994;IR1800Fold
ENN1995GER;7. Eurocup Ennigerloh;GER;Ennigerloh;IC;4.6.1995;IR1800old
IC1995SWE;Baltic Sea Cup;SWE;Stockholm;IC;11.6.1995;IR1800old
IC1995CZE;Czech Open National Championships;CZE;Otrokovice;IC;16.7.1995;IR1800old
IC1995HUN;Humet Cup;HUN;Budapest;IC;13.8.1995;IR1800Fold
CE1995POR;Albufeira Cup;POR;Aldea des Acoteias;IC;14.9.1995;IR900
ECH1995POR;3rd IAU European Championships;POR;Aldea des Acoteias;CCH;15.9.1995;IR1800old
ENN1996GER;8. Eurocup Ennigerloh;GER;Ennigerloh;IC;25.5.1996;IR1800old
IC1996BEL;International Competition;BEL;Lier;IC;30.6.1996;IR1800old
IC1996HUN;Humet Eurocup;HUN;Budapest;IC;7.7.1996;IR1800Fold
IC1996CZE;Czech Open National Championships;CZE;Suche Lazce;IC;18.8.1996;IR1800old
CC1996IVA;1st Croatia Cup;CRO;Ivanic Grad;IC;15.9.1996;IR1800Fold
CE1996TPE;Chung-Jean Cup;TPE;Tainan;IC;10.11.1996;IR900
WCH1996TPE;8th IAU World Championships;TPE;Tainan;WCH;12.11.1996;IR1800Fold
ENN1997GER;9. Eurocup Ennigerloh;GER;Ennigerloh;IC;17.5.1997;IR1800old
IC1997HUN;Humet Eurocup;HUN;Lajosmizse;IC;27.7.1997;IR1800old
CC1997IVA;2nd Croatia Cup;CRO;Ivanic Grad;IC;31.8.1997;IR1800Fold
