match_id;comp_id;category;a1s1;a1s2;a1s3;a1s4;a1s5;points1;a2s1;a2s2;a2s3;a2s4;a2s5;points2;comp_round;old_elo1;new_elo1;old_elo2;new_elo2;athlete1_id;athlete2_id;winner_id;athlete_name1;athlete_name2;winner
mp000001;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;CRO00021;CZE00032;CRO00021;PEREGLIN Domagoj;KUBESA Oldrich;PEREGLIN Domagoj
mp000002;IC2018ESB;O;;;;;;6;;;;;;4;Round of 32;1000;1016;1000;984;CRO00066;CRO00046;CRO00066;GRDISA Maja;POPOVIC-GECAN Iva;GRDISA Maja
mp000003;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;CRO00039;CZE00043;CRO00039;MOFARDIN Oliver;KOLENAKOVA Jana;MOFARDIN Oliver
mp000004;IC2018ESB;O;;;;;;1;;;;;;5;Round of 32;1000;984;1000;1016;RUS00018;CRO00038;CRO00038;KLIMOVA Olga;BORAK Stjepan;BORAK Stjepan
mp000005;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;RUS00053;CRO00083;RUS00053;POPOV Artem;SUHINA Filip;POPOV Artem
mp000006;IC2018ESB;O;;;;;;6;;;;;;2;Round of 32;1000;1016;1000;984;RUS00057;CRO00031;RUS00057;SIMASHEV Fedor;KOZUMPLIK Valentina;SIMASHEV Fedor
mp000007;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;CRO00004;CRO00043;CRO00004;KOMAR Sanja;BARTOLOVIC Karla;KOMAR Sanja
mp000008;IC2018ESB;O;;;;;;3;;;;;;5;Round of 32;1000;984;1000;1016;CZE00027;HUN00008;HUN00008;NEDELNIKOVA Jaroslava;LENART Agota;LENART Agota
mp000009;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;CRO00055;CRO00070;CRO00055;MRNJAVCIC PEREGLIN Valentina;BUNCEC David;MRNJAVCIC PEREGLIN Valentina
mp000010;IC2018ESB;O;;;;;;3;;;;;;5;Round of 32;1000;984;1000;1016;CRO00037;RUS00052;RUS00052;STRBENAC Luka;KOCHETOVA Lolita;KOCHETOVA Lolita
mp000011;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;CRO00042;CZE00040;CRO00042;OBOROVECKI Mihaela;POSPISILOVA Barbora;OBOROVECKI Mihaela
mp000012;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;CRO00036;CZE00029;CRO00036;OBOROVECKI Martin;KUBESOVA Sabina;OBOROVECKI Martin
mp000013;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;CRO00025;CRO00082;CRO00025;KAJFES Marijan;KASALO Antonia;KAJFES Marijan
mp000014;IC2018ESB;O;;;;;;5;;;;;;3;Round of 32;1000;1016;1000;984;CRO00011;CZE00038;CRO00011;TIJAN Zeljko;HYNKOVA Karolina;TIJAN Zeljko
mp000015;IC2018ESB;O;;;;;;6;;;;;;0;Round of 32;1000;1016;1000;984;CRO00032;CRO00068;CRO00032;KELECIC Ivan;OBOROVECKI Helena;KELECIC Ivan
mp000016;IC2018ESB;O;;;;;;6;;;;;;2;Round of 32;1000;1016;1000;984;CRO00041;CRO00044;CRO00041;BORAK Ivan;BLAGEC Petar;BORAK Ivan
mp000017;IC2018ESB;O;;;;;;5q;;;;;;5;Round of 16;1016;1032;1016;1000;CRO00021;CRO00066;CRO00021;PEREGLIN Domagoj;GRDISA Maja;PEREGLIN Domagoj
mp000018;IC2018ESB;O;;;;;;6;;;;;;0;Round of 16;1016;1032;1016;1000;CRO00039;CRO00038;CRO00039;MOFARDIN Oliver;BORAK Stjepan;MOFARDIN Oliver
mp000019;IC2018ESB;O;;;;;;6;;;;;;0;Round of 16;1016;1032;1016;1000;RUS00053;RUS00057;RUS00053;POPOV Artem;SIMASHEV Fedor;POPOV Artem
mp000020;IC2018ESB;O;;;;;;6;;;;;;2;Round of 16;1016;1032;1016;1000;CRO00004;HUN00008;CRO00004;KOMAR Sanja;LENART Agota;KOMAR Sanja
mp000021;IC2018ESB;O;;;;;;6;;;;;;2;Round of 16;1016;1032;1016;1000;CRO00055;RUS00052;CRO00055;MRNJAVCIC PEREGLIN Valentina;KOCHETOVA Lolita;MRNJAVCIC PEREGLIN Valentina
mp000022;IC2018ESB;O;;;;;;6;;;;;;4;Round of 16;1016;1032;1016;1000;CRO00042;CRO00036;CRO00042;OBOROVECKI Mihaela;OBOROVECKI Martin;OBOROVECKI Mihaela
mp000023;IC2018ESB;O;;;;;;5;;;;;;1;Round of 16;1016;1032;1016;1000;CRO00025;CRO00011;CRO00025;KAJFES Marijan;TIJAN Zeljko;KAJFES Marijan
